Name,Description,Street,Interior Number,Zip Code,Country,State,City,Rooms,Bathrooms,Area,Available,Verified,Type,RSA,Lat,Lng,Price,Images
Tamanche,"Desarrollo perfecto que te inspira tranquilidad para vivir, localizado en una ubicación premium estratégica, rodeada de naturaleza, de campos de gol, zonas hípicas, universidades, escuelas privadas, exclusivos centros comerciales, y parques corporativos, es una zona segura que incrementa su valor día a día. lo que protege tu inversión en uno de los mercados inmobiliarios mas robustos de México.",Carretera Mérida Progreso,SN,97000,Mexico,Yucatán,Mérida,2,2,180,TRUE,TRUE,Casa,Century21,21.1401821,-89.7154691,"3,000,000","https://cdn.21online.lat/mexico/cache/awsTest1/rc/j4E96OPa/uploads/392/propiedades/455412/62dadc328e113.jpeg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/30gfPSGe/uploads/392/propiedades/455412/62d5a1b70e0bd.jpeg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/uy4Ad3VG/uploads/392/propiedades/455412/62dadc2c92728.jpeg"
Cortes Sarmiento,"Excelente oportunidad de inversión en una de las playas más bellas. Terrerno frente al mar, cerca de urbanización en esquina.",Chuburna Puerto,SN,97336,Mexico,Yucatán,Mérida,0,0,630,TRUE,TRUE,Terreno,Caribbean Realtors,21.25561391,-89.81058526,"5,600,000","https://images.segundamano.mx/api/v1/smmx/images/31/3163780187.jpg?rule=webp_web_gallery_2x,https://images.segundamano.mx/api/v1/smmx/images/31/3172303506.jpg?rule=webp_web_gallery_2x"
Valladolid Centro,"Ubicado en un Pueblo Mágico impresionante, Valladolid, Yucatán; donde su gastronomía, sus olores, su historia, y su gente te hará sentir en un verdadero hogar. Punto privilegiado de inversión con retorno seguro por ser por antonomasia, lugar turístico.",,SN,97780,Mexico,Yucatán,Valladolid,1,1,120,TRUE,TRUE,Departamento,Caribbean Realtors,20.68778683,-88.20379647,"1,674,500","https://images.segundamano.mx/api/v1/smmx/images/31/3154603133.jpg?rule=webp_web_gallery_2x,https://images.segundamano.mx/api/v1/smmx/images/31/3129033176.jpg?rule=webp_web_gallery_2x,https://images.segundamano.mx/api/v1/smmx/images/31/3197219728.jpg?rule=webp_web_gallery_2x"
Temozón Norte,"Es un complejo de 24 townhouses ubicados en Temozón, la mejor zona para vivir en el norte de Mérida, a pocos minutos de excelentes universidades, nuevos centros comerciales y los mejores hospitales de la ciudad.",,2,97302,Mexico,Yucatán,Mérida,2,2,166,VERDADERO,VERDADERO,Casa,Inmobiliaria Infinity,21.06508825,-89.59203773,"2,980,000","https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x6x1200x900/61a7f66e0f29c1.webp,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x6x1200x900/4e3bb38a914749.webp,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x6x1200x900/d2f17924b8e072.webp"
Santiago,"Preciosa casa remodelada en Santiago, Mérida Centro, cuenta con amplios espacios, alberca, 2 recámaras, 2 baños completos. Acabados tipo Mampostería. ¡LISTA PARA OCUPAR!",C.61,SN,97000,Mexico,Yucatán,Mérida,2,2,225,VERDADERO,VERDADERO,Casa,Real Estate Yucatán,20.96909006,-89.63258473,"5,590,000","https://realestateyucatan.com/files/media/image/img_bd5404af5338ab340550d00ec22f4780.jpg,https://realestateyucatan.com/files/media/image/img_c2e343325168d70d0c82370e977c67ed.jpg,https://realestateyucatan.com/files/media/image/img_0b0a881aa1cdbfa194dca20eb7e4b83e.jpg"
Diamante Reliz,"En hermoso fraccionamiento privado, casa nueva en estilo moderno de 2 niveles, con finos acabados, al ingresar hay recibidor, acogedora sala comedor, cocina integral con area de lavandería.",Boreal,SN,31207,Mexico,Chihuahua,Chihuahua,3,2,135,VERDADERO,VERDADERO,Casa,Century21,28.5907188,-106.2295429,"2,290,000","https://cdn.21online.lat/mexico/cache/awsTest1/rc/6BBYSGjb/uploads/353/propiedades/417833/6152316d31f1a.JPG,https://cdn.21online.lat/mexico/cache/awsTest1/rc/epC3VPKf/uploads/353/propiedades/417833/6152316ace339.JPG,https://cdn.21online.lat/mexico/cache/awsTest1/rc/7L4LFs1I/uploads/353/propiedades/417833/6152316dd7f12.JPG"
Las Canteras,"Cocina integral con parrilla, campana y tarja, aire acondicionado, boiler, gas natural, calefacción, luz 110 y 220, aljibe, hidroneumatico, pisos de porcelanato, carpintería MDF, ventaneria de PVC doble vidrio, techos de concreto y muros de block térmico.",SC,SN,31115,Mexico,Chihuahua,Chihuahua,3,3,189.8,VERDADERO,VERDADERO,Casa,Century21,28.66363091,-106.132243,"4,700,000","https://cdn.21online.lat/mexico/cache/awsTest1/rc/XMlifdwT/uploads/55/propiedades/449884/629e4ebe9ab21.jpg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/3xsNR0Nz/uploads/55/propiedades/449884/629e4ec26cf5c.jpg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/KDkjjF0i/uploads/55/propiedades/449884/629e4ec584fa5.jpg"
Bugambilias,"Amplia casa con terminados en madera, 3 habitaciones, 1 oficina, cuarto de servidumbre, cuarto de lavado, 2 salas de estar, una barra, fuente, jacuzzi, clósets amplios, cochera para 6 autos, portón eléctrico, seguridad las 24 horas del día. A 5 min de un supermercado, OXXO, restaurant, tintorería, farmacia y a 10 min de la plaza panorámica en Bugambilias. La casa se vende en las condiciones en las que se encuentra.",De las Mercaderas,SN,45230,Mexico,Jalisco,Zapopan,4,4,639,VERDADERO,VERDADERO,Casa,Century21,20.6005268,-103.5134053,"8,990,000","https://cdn.21online.lat/mexico/cache/awsTest1/rc/ZHKZkOb0/uploads/311/propiedades/405478/60df4ed57dda0.jpg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/PSzjTtGX/uploads/311/propiedades/405478/60df4edac2993.jpg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/NVLsgjEL/uploads/311/propiedades/405478/60df4eda09362.jpg"
De la Costa,"Extraordinaria propiedad en venta en la colonia Barrio Del Centro. La entrada es directa a la sala principal, la cual tiene hermosa iluminación natural, y un amplio espacio. También se conecta con el comedor, sala para recibir amigos y familiares y cocina integral. Cuatro habitaciones de buen tamaño cada una con closet grande, dos baños completos, dos medios baños, estacionamiento con espacio para dos carros. Superficie de construcción de 328 m2, superficie de terreno de 90 m2. Características con la que cuenta esta casa son: cocina integral, área para bar, área de tendido para ropa, lavandería, terraza, balcón, vigilancia. Es una gran oportunidad para adquirir esta casa que se encuentra a excelente precio, la zona es muy tranquila para vivir en familia. Es una excelente opción para invertir. Agenda una cita con nosotros y conoce tu próximo hogar.","Barrio San Pedro, Monterrey, Nuevo León",SN,64102,Mexico,Monterrey,Nuevo León,4,3,90,TRUE,TRUE,Casa,Loft,25.7800336,-100.4021459,"2,940,000","https://propiedadescom.s3.amazonaws.com/files/original/sn-barrio-san-pedro-monterrey-nuevo-leon-25202829-foto-01.jpg,  https://propiedadescom.s3.amazonaws.com/files/original/sn-barrio-san-pedro-monterrey-nuevo-leon-25202829-foto-03.jpg,https://propiedadescom.s3.amazonaws.com/files/original/sn-barrio-san-pedro-monterrey-nuevo-leon-25202829-foto-09.jpg"
Residencia en Venta,"Preciosa residencia de lujo ubicada en colonia exclusiva con alta plusvalía. Cuenta con amplios espacios en áreas sociales, alberca con terraza y cocina exterior, cuarto de juegos con bar y billar, cuarto de cine, gimnasio, elevador, además cuenta con sistema inteligente, paneles solares y departamento exterior.","san patricio san pedro garza garcia, San Patricio, San Pedro Garza García",SN,66230,Mexico,Monterrey,Nuevo León,5,5,2330,TRUE,TRUE,Casa,inmuebles24,25.6678495,-100.3920556,"89,950,000","https://img10.naventcdn.com/avisos/18/00/58/97/66/04/1200x1200/283532746.jpg, https://img10.naventcdn.com/avisos/18/00/58/97/66/04/1200x1200/283532757.jpg, https://img10.naventcdn.com/avisos/18/00/58/97/66/04/1200x1200/283532747.jpg"
Casa en Venta Fuentes del Valle,"Residencia de lujo, lista para estrenar con excelente ubicación y espacios amplios en interior y exterior. Asador equipado en jardín. Combinaciones de mármol, granito y cancelería de cristal templdo. Cocina con Family room, sala-comedor, cuenta con recámara completa en planta baja. Incluye cocina, closets, lavanetas con cubierta de granito, espejos, aire acondicionado y ventaneria duovent. Todas las recámaras cuentan con baño y walking closet.","Fuentes del Valle, Fuentes del Valle, San Pedro Garza García",SN,66220,Mexico,Monterrey,Nuevo León,4,3,630,TRUE,TRUE,Casa,inmuebles24,25.6650775,-100.3568113,"31,800,000","https://img10.naventcdn.com/avisos/18/00/62/00/27/09/1200x1200/318938174.jpg, https://img10.naventcdn.com/avisos/18/00/62/00/27/09/1200x1200/333287246.jpg, https://img10.naventcdn.com/avisos/18/00/62/00/27/09/1200x1200/318938173.jpg,"
La Cima/palo Blanco,PROYECTO en PREVENTA para entrega PRIMAVERA/VERANO 2022 Preciosa Residencia en exclusivo fraccionamiento con caseta de vigilancia y Casa Club 3 plantas · 4 recámaras · 5.5 baños · Sala · Comedor · Estancia familiar · Estancia de t.v. · Cuarto de juegos · Terraza/Asador · Jardín · Cochera para 4 autos · Acabados de lujo.,"Zona Palo Blanco
, Zona Palo Blanco, San Pedro Garza García",SN,66230,Mexico,Monterrey,Nuevo León,4,3,404,TRUE,TRUE,Casa,inmuebles24,25.6528454,-100.4022162,"32,000,000","https://img10.naventcdn.com/avisos/18/00/63/00/81/36/1200x1200/293163865.jpg, https://img10.naventcdn.com/avisos/18/00/63/00/81/36/1200x1200/293163864.jpg, https://img10.naventcdn.com/avisos/18/00/63/00/81/36/1200x1200/293163866.jpg"
Mirasierra,"Residencia en el fraccionamiento privado San Andrés, seguridad las 24 horas, cuenta con cochera para 3 autos, cocina totalmente equipada, acogedora terraza con amplio jardín, luz natural en área social, recámaras con walk-in closet, dos estancias familiares.","Mirasierra 2o Sector, 66240 San Pedro Garza García, Nuevo Leon, Mirasierra , San Pedro Garza García",SN,66230,Mexico,Monterrey,Nuevo León,3,3,419,TRUE,TRUE,Casa,inmuebles24,25.6528451,-100.4087823,"20,950,000","https://img10.naventcdn.com/avisos/18/00/64/61/63/38/1200x1200/330102635.jpg, https://img10.naventcdn.com/avisos/18/00/64/61/63/38/1200x1200/330102641.jpg, https://img10.naventcdn.com/avisos/18/00/64/61/63/38/1200x1200/330102639.jpg"
Moca - 490 | Nuevo Centro de Mty,"PROYECTO DE USOS MIXTOS:

• Torre de 40 niveles","Melchor Ocampo 490, Centro, Monterrey, Nuevo León .",SN,64000,Mexico,Monterrey,Nuevo León,2,2,56,TRUE,TRUE,Departamento,inmuebles24,25.6673999,100.3256615,"4,170,366","https://img10.naventcdn.com/avisos/resize/18/00/62/52/22/62/1200x1200/333437818.jpg, https://img10.naventcdn.com/avisos/resize/18/00/62/52/22/62/1200x1200/333455814.jpg, https://img10.naventcdn.com/avisos/resize/18/00/62/52/22/62/1200x1200/333437823.jpg"
Departamento Equipado en Renta Nuevo Sur Al Sur de Monterrey,"Departamento en Renta totalmente equipado con acabados estilo contemporáneo, con doble caseta de vigilancia 24/7 con acceso controlado. Cerca del Tecnológico de Monterrey y zona Sur.

Cuenta con 2 cajones de estacionamiento techado, cerca del elevador.","Nuevo Sur
, Ladrillera, Monterrey",SN,64830,Mexico,Monterrey,Nuevo León,2,2,144,TRUE,TRUE,Departamento,inmuebles24,25.653192,-100.2936607,"2,000,800","https://img10.naventcdn.com/avisos/18/00/64/90/89/19/1200x1200/331278650.jpg,https://img10.naventcdn.com/avisos/18/00/64/90/89/19/1200x1200/331278654.jpg, https://img10.naventcdn.com/avisos/18/00/64/90/89/19/1200x1200/331278656.jpg,"
"Departamento en Venta Centro Cuauhtémoc, Centro Monterrey","Departamento en el Centro Cuauhtémoc con excelente ubicación, a 2 min del Túnel Loma Larga.
Con Centro Comercial en la torre
80m2","Centro de Monterrey, Centro, Monterrey",SN,64000,Mexico,Monterrey,Nuevo León,2,1,80,TRUE,TRUE,Departamento,inmuebles24,25.675364,-100.3294293,"3,200,000","https://img10.naventcdn.com/avisos/18/00/64/81/24/69/1200x1200/329527756.jpg., https://img10.naventcdn.com/avisos/18/00/64/81/24/69/1200x1200/329527754.jpg, https://img10.naventcdn.com/avisos/18/00/64/81/24/69/1200x1200/329527753.jpg"
"Departamento Amueblado en Venta Citica, Centro de Monterrey","Departamento decorado, equipado y amueblado con los mejores acabados y excelente calidad ubicado en Torre Citica, a solo unos minutos de San Pedro!","Centro de Monterrey
, Centro, Monterrey",SN,64000,Mexico,Monterrey,Nuevo León,2,2,91,TRUE,TRUE,Departamento,inmuebles24,25.6699593,-100.3695336,"5,700,000","https://img10.naventcdn.com/avisos/18/00/64/32/14/10/1200x1200/319837291.jpg, https://img10.naventcdn.com/avisos/18/00/64/32/14/10/1200x1200/319837293.jpg, https://img10.naventcdn.com/avisos/18/00/64/32/14/10/1200x1200/319837283.jpg"
Departamento en Venta Colonia San Jeronimo Zona Monterrey,"Departamento a estrenar en Torre con seguridad 24/7 y excelente ubicación en San Jerónimo, acceso rápido a vías importantes, cerca de hospitales, escuelas y centros comerciales.","Departamento EN Venta Colonia SAN Jeronimo Zona Monterrey
, San Jerónimo, Monterrey",SN,64000,Mexico,Monterrey,Nuevo León,3,2,144,TRUE,TRUE,Departamento,inmuebles24,25.6699572,-100.3695338,"5,550,000","https://img10.naventcdn.com/avisos/18/00/61/43/54/58/1200x1200/303508286.jpg, https://img10.naventcdn.com/avisos/18/00/61/43/54/58/1200x1200/303508523.jpg, https://img10.naventcdn.com/avisos/18/00/61/43/54/58/1200x1200/303508527.jpg"
